# Rime user dictionary
#@/db_name	dicts
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	127284
#@/user_id	sync
a 	啊	c=227 d=2.80092 t=127284
fu zhi 	賦值	c=26 d=0.601667 t=127284
fu zhi dao 	複製到	c=1 d=0.000118571 t=127284
fu zhi zhan tie 	賦值粘貼	c=1 d=6.62275e-06 t=127284
fu zhu 	輔助	c=11 d=0.0401553 t=127284
fu zhu 	附註	c=10 d=0.000432902 t=127284
fu zi 	父子	c=1 d=0.017163 t=127284
fu zu jian 	父組件	c=1 d=2.45451e-05 t=127284
ga 	噶	c=2 d=1.43206e-19 t=127284
gai 	改	c=44 d=1.01133 t=127284
gai 	蓋	c=1 d=1.14512e-06 t=127284
gai 	該	c=298 d=4.39397 t=127284
gai bian 	改變	c=37 d=0.802519 t=127284
gai bu gai 	該不該	c=1 d=0.0685632 t=127284
gai bu wan 	改不完	c=1 d=0.272532 t=127284
gai can shu 	該參數	c=1 d=2.74169e-42 t=127284
gai cheng 	改成	c=23 d=0.740737 t=127284
gai cheng ne ge 	改成呢個	c=1 d=4.11929e-08 t=127284
gai de 	改得	c=2 d=0.212312 t=127284
gai dong 	改動	c=3 d=0.375311 t=127284
gai fen zhi 	該分支	c=1 d=1.14746e-30 t=127284
gai gai 	改改	c=7 d=0.612633 t=127284
gai gai gai 	改改改	c=1 d=0.0192547 t=127284
gai han shu 	該函數	c=1 d=3.13636e-36 t=127284
gai hui hua 	該會話	c=1 d=1.52429e-18 t=127284
gai ji 	該機	c=1 d=0.637628 t=127284
gai jie gou 	該結構	c=2 d=2.59726e-23 t=127284
gai jin 	改進	c=41 d=1.48592 t=127284
gai jin cheng 	該進程	c=5 d=1.7381e-18 t=127284
gai kuo 	概括	c=3 d=0.826976 t=127284
gai lan 	概覽	c=4 d=0.318855 t=127284
gai le 	改了	c=15 d=0.564807 t=127284
gai le gai 	改了改	c=1 d=4.40657e-07 t=127284
gai lv 	概率	c=13 d=2.92151 t=127284
gai lv lun 	概率論	c=12 d=2.01995 t=127284
gai mi 	改密	c=1 d=2.18444e-16 t=127284
gai ming 	改名	c=2 d=0.369723 t=127284
gai ming zi 	改名字	c=1 d=0.364219 t=127284
gai mu lu 	該目錄	c=1 d=3.2825e-13 t=127284
gai nao geng si 	該腦梗死	c=1 d=0.000515692 t=127284
gai nian 	概念	c=16 d=0.878703 t=127284
gai ri 	改日	c=1 d=1.20777e-15 t=127284
gai ru he 	該如何	c=2 d=0.00050296 t=127284
gai tian 	改天	c=1 d=0.000343955 t=127284
gai tiao jian 	該條件	c=1 d=3.90615e-30 t=127284
gai wan 	改完	c=0 d=0.0267135 t=127284
gai wan le 	改完了	c=1 d=0.268474 t=127284
gai wei 	改爲	c=6 d=0.249075 t=127284
gai wen jian 	該文件	c=4 d=2.30741e-35 t=127284
gai xi tong 	該系統	c=1 d=8.35101e-28 t=127284
gai xie 	改寫	c=20 d=0.822294 t=127284
gai xie cheng 	該协程	c=1 d=1 t=125888
gai xin hao 	該信號	c=3 d=5.76342e-18 t=127284
gai xuan xiang 	該選項	c=1 d=7.67704e-38 t=127284
gai yao 	概要	c=1 d=0.133989 t=127284
gai yi gai 	改一改	c=1 d=4.0783e-08 t=127284
gai yong 	改用	c=4 d=0.0617291 t=127284
gai zuo ye 	該作業	c=1 d=8.42777e-18 t=127284
gan 	幹	c=17 d=0.900325 t=127284
gan 	感	c=5 d=0.249282 t=127284
gan 	敢	c=2 d=0.00319873 t=127284
gan 	杆	c=1 d=0.0816756 t=127284
gan 	肝	c=1 d=5.01747e-05 t=127284
gan 	趕	c=2 d=0.0208584 t=127284
gan ai 	肝癌	c=0 d=0.00850088 t=127284
gan ai ma 	肝癌嗎	c=1 d=0.085435 t=127284
gan dao 	幹到	c=1 d=0.625002 t=127284
gan dao 	感到	c=1 d=0.14808 t=127284
gan de 	乾的	c=3 d=0.00036159 t=127284
gan diao 	幹掉	c=2 d=3.12943e-10 t=127284
gan dong 	感動	c=0 d=0.0814647 t=127284
gan dong le 	感動了	c=1 d=0.818731 t=127284
gan ga 	尷尬	c=3 d=0.814647 t=127284
gan jin 	趕緊	c=6 d=0.99005 t=127284
gan jing 	乾淨	c=2 d=0.990089 t=127284
gan jue 	感覺	c=79 d=3.32293 t=127284
gan le 	乾了	c=2 d=0.0280154 t=127284
gan ma 	幹嘛	c=9 d=0.913931 t=127284
gan mao 	感冒	c=5 d=0.0816756 t=127284
gan qing 	感情	c=1 d=0.965605 t=127284
gan sha 	幹啥	c=9 d=0.13068 t=127284
gan shang 	趕上	c=1 d=4.21038e-30 t=127284
gan shou 	感受	c=1 d=8.95348e-24 t=127284
gan tan 	感嘆	c=1 d=1.07062e-38 t=127284
gan xiang 	感想	c=1 d=1 t=124314
gan xie 	感謝	c=39 d=0.717025 t=127284
gan xie ni 	感謝你	c=1 d=1 t=125700
gan xing 	感性	c=1 d=1.07899e-12 t=127284
gan xing qu 	感興趣	c=3 d=0.00102814 t=127284
gan xing qu de 	感興趣的	c=1 d=2.46765e-09 t=127284
gan yong 	敢用	c=1 d=6.67204e-05 t=127284
gan zai 	趕在	c=1 d=0.0925506 t=127284
gan zhe 	幹這	c=0 d=0.0704688 t=127284
gan zhe ge 	幹這個	c=1 d=0.70822 t=127284
gang 	剛	c=31 d=0.786628 t=127284
gang cai 	剛纔	c=7 d=1.07342 t=127284
gang fu zhi 	剛複製	c=1 d=3.57433e-15 t=127284
gang gang 	剛剛	c=7 d=0.0028799 t=127284
gang gang 	槓槓	c=1 d=0.199888 t=127284
gang gang na ge 	剛剛哪個	c=1 d=0.000151489 t=127284
gang kai shi 	剛開始	c=1 d=0.00155699 t=127284
gang qu 	港區	c=1 d=0.0858632 t=127284
gang wei 	崗位	c=2 d=0.509156 t=127284
gang xue 	剛學	c=1 d=8.11136e-09 t=127284
gang yao 	綱要	c=1 d=0.895834 t=127284
gao 	搞	c=72 d=1.47706 t=127284
gao 	高	c=48 d=1.57009 t=127284
gao bing fa 	搞併發	c=1 d=2.08187e-09 t=127284
gao bu cheng di bu jiu 	高不成低不就	c=1 d=0.172907 t=127284
gao bu chu 	搞不出	c=1 d=4.60861e-05 t=127284
gao bu dong 	搞不懂	c=2 d=1.36058 t=127284
gao bu liao 	搞不了	c=1 d=7.77319e-08 t=127284
gao chang 	高唱	c=1 d=0.970446 t=127284
gao chao 	高潮	c=2 d=0.97531 t=127284
gao cheng 	搞成	c=2 d=0.951229 t=127284
gao chu 	高出	c=2 d=3.04377e-07 t=127284
gao chu lai 	搞出來	c=1 d=5.83741e-21 t=127284
gao cuo 	搞錯	c=0 d=0.000600598 t=127284
gao cuo le 	搞錯了	c=1 d=0.00603608 t=127284
gao dao 	搞到	c=1 d=7.458e-21 t=127284
gao de 	搞得	c=13 d=0.88692 t=127284
gao de wo 	搞得我	c=1 d=1.71478e-21 t=127284
gao deng 	高等	c=6 d=1.94307 t=127284
gao dong 	搞懂	c=1 d=0.00491728 t=127284
gao du 	高度	c=54 d=1.61003 t=127284
gao e 	高額	c=0 d=1.76887e-05 t=127284
gao e le 	高額了	c=1 d=0.000177774 t=127284
gao fang 	高仿	c=1 d=2.92641e-15 t=127284
gao ge 	搞個	c=6 d=0.946716 t=127284
gao gong 	高拱	c=2 d=1.34034 t=127284
gao ji 	告急	c=3 d=2.56161e-20 t=127284
gao ji 	高級	c=16 d=0.8251 t=127284
gao jing du 	高精度	c=3 d=0.1264 t=127284
gao kai 	高開	c=0 d=0.0063017 t=127284
gao kai di zou 	高開低走	c=1 d=0.0317456 t=127284
gao kai di zou 	高開第走	c=1 d=0.0315873 t=127284
gao kao 	高考	c=4 d=0.122456 t=127284
gao le 	搞了	c=24 d=0.823959 t=127284
gao le 	高了	c=1 d=1.41295e-08 t=127284
gao le ge 	搞了個	c=1 d=3.38074e-07 t=127284
gao liang 	高亮	c=8 d=0.0717211 t=127284
gao nan du 	高難度	c=1 d=0.0323869 t=127284
gao qing 	高清	c=1 d=1 t=124279
gao shou 	高手	c=2 d=3.71703e-05 t=127284
gao shu 	高數	c=0 d=0.0332871 t=127284
gao si 	高斯	c=0 d=1.63793e-12 t=127284
gao si ke tang 	高斯課堂	c=1 d=1.64614e-11 t=127284
gao su 	告訴	c=11 d=0.768119 t=127284
gao su 	高速	c=6 d=0.00326339 t=127284
gao su ni 	告訴你	c=1 d=5.13382e-10 t=127284
gao su ta 	告訴它	c=1 d=6.41916e-21 t=127284
gao xiang 	高翔	c=1 d=0.126186 t=127284
gao xiao 	搞笑	c=1 d=9.07797e-10 t=127284
gao xiao 	高效	c=10 d=0.134716 t=127284
gao xiao 	高校	c=3 d=0.209088 t=127284
gao xin 	高薪	c=1 d=2.56216e-10 t=127284
gao xing neng 	高性能	c=5 d=0.737123 t=127284
gao yi ge 	搞一個	c=2 d=0.00158179 t=127284
gao zhe 	搞着	c=1 d=0.00436124 t=127284
gao zhe 	搞這	c=1 d=0.00433948 t=127284
gao zhi 	告知	c=1 d=7.12497e-13 t=127284
gao zhi liang 	高質量	c=2 d=4.28813e-10 t=127284
gao zhong 	高中	c=4 d=3.28389e-08 t=127284
ge 	個	c=236 d=1.81732 t=127284
ge 	各	c=3 d=0.00120654 t=127284
ge 	哥	c=7 d=1.37586 t=127284
ge 	擱	c=1 d=0.00105946 t=127284
ge 	歌	c=1 d=9.71602e-15 t=127284
ge 	隔	c=0 d=0.0120633 t=127284
ge bi 	隔壁	c=3 d=4.75058e-09 t=127284
ge bie 	個別	c=1 d=1.41685e-11 t=127284
ge bu fen 	各部分	c=1 d=0.000889368 t=127284
ge da 	各大	c=2 d=0.0320666 t=127284
ge ge 	各個	c=19 d=0.579842 t=127284
ge ge gai 	各個該	c=1 d=1.35073e-37 t=127284
ge ge jin cheng 	各個進程	c=1 d=4.06211e-20 t=127284
ge kai 	隔開	c=1 d=9.86286e-15 t=127284
ge ke 	各科	c=1 d=6.02665e-14 t=127284
ge kong cao zuo 	隔空操作	c=1 d=0.121238 t=127284
ge lei 	各類	c=1 d=0.000495472 t=127284
ge lei 	格雷	c=1 d=0.00194013 t=127284
ge li 	隔離	c=7 d=0.485225 t=127284
ge lie 	割裂	c=1 d=0.102284 t=127284
ge men 	哥們	c=1 d=1.54628e-10 t=127284
ge ming 	革命	c=2 d=0.0211736 t=127284
ge qu 	歌曲	c=3 d=4.10796e-05 t=127284
ge ren 	個人	c=56 d=0.926405 t=127284
ge shi 	各式	c=1 d=0.00118858 t=127284
ge shi 	格式	c=173 d=1.33729 t=127284
ge shi hua 	格式化	c=14 d=1.20601 t=127284
ge shu 	個數	c=5 d=0.299692 t=127284
ge wan 	各玩	c=1 d=4.69436e-16 t=127284
ge wei 	各位	c=2 d=0.017953 t=127284
ge xia 	閣下	c=1 d=1.64441e-28 t=127284
ge yang 	各樣	c=1 d=7.9084e-05 t=127284
ge yi duan 	隔一段	c=1 d=0.000655574 t=127284
ge you 	各有	c=1 d=0.360595 t=127284
ge yue 	個月	c=1 d=0.000385874 t=127284
ge zhan 	各佔	c=2 d=1.07742e-25 t=127284
ge zhe 	擱着	c=1 d=1.79158e-07 t=127284
ge zhe 	隔着	c=1 d=1.78264e-07 t=127284
ge zhong 	各種	c=29 d=0.116484 t=127284
ge zhong xin hao 	各種信號	c=1 d=4.22788e-20 t=127284
ge zi 	各自	c=2 d=0.600901 t=127284
ge zu 	各組	c=1 d=6.91087e-07 t=127284
gei 	給	c=183 d=2.14409 t=127284
gei bu gei 	給不給	c=1 d=8.74757e-15 t=127284
gei chu 	給出	c=29 d=0.402524 t=127284
gei de 	給得	c=1 d=0.000534061 t=127284
gei de 	給的	c=14 d=0.919348 t=127284
gei ding 	給定	c=7 d=0.00351752 t=127284
gei ge 	給個	c=3 d=3.20778e-18 t=127284
gei guo 	給過	c=1 d=1 t=126012
gei le 	給了	c=6 d=0.501576 t=127284
gei ni 	給你	c=10 d=1.01411 t=127284
gei ni dian 	給你點	c=2 d=0.453146 t=127284
gei ni men 	給你們	c=1 d=4.38533e-09 t=127284
gei qi 	給其	c=1 d=0.722527 t=127284
gei qian 	給錢	c=1 d=0.171187 t=127284
gei ren 	給人	c=1 d=6.62839e-16 t=127284
gei ta 	給他	c=11 d=0.279515 t=127284
gei ta 	給她	c=2 d=0.276651 t=127284
gei wo 	給我	c=58 d=2.00262 t=127284
gei zu 	給組	c=1 d=0.000863083 t=127284
gen 	根	c=14 d=0.901582 t=127284
gen 	跟	c=39 d=0.188264 t=127284
gen ben 	根本	c=7 d=0.573875 t=127284
gen de 	跟的	c=1 d=0.232236 t=127284
gen duo le 	跟多了	c=1 d=3.79535e-15 t=127284
gen feng 	跟風	c=1 d=7.05048e-07 t=127284
gen jie dian 	根節點	c=5 d=0.318224 t=127284
gen ju 	根據	c=115 d=1.49352 t=127284
gen ju ta 	根據它	c=1 d=1.36765e-07 t=127284
gen jue 	根絕	c=3 d=0.0266491 t=127284
gen le 	跟了	c=1 d=1.25685e-13 t=127284
gen mu lu 	根目錄	c=2 d=1.5468e-14 t=127284
gen ni 	跟你	c=5 d=0.235748 t=127284
gen ta men 	跟它們	c=1 d=8.60534e-28 t=127284
gen wo 	跟我	c=8 d=0.341298 t=127284
gen xin 	跟新	c=2 d=0.873716 t=127284
gen yuan 	根源	c=1 d=0.000240549 t=127284
gen zhe 	跟着	c=6 d=3.93803e-08 t=127284
gen zong 	跟蹤	c=22 d=2.29495e-07 t=127284
gen zong le 	跟蹤了	c=1 d=2.0403e-07 t=127284
geng 	更	c=63 d=1.06919 t=127284
geng 	梗	c=3 d=0.0182004 t=127284
geng ai 	更愛	c=1 d=2.86651e-07 t=127284
geng bie shuo 	更別說	c=2 d=0.00128115 t=127284
geng da 	更大	c=1 d=1.75246e-12 t=127284
geng di 	更低	c=2 d=3.7363e-07 t=127284
geng duo 	更多	c=34 d=2.10484 t=127284
geng duo de 	更多的	c=2 d=0.50409 t=127284
geng duo le 	更多了	c=1 d=3.85271e-15 t=127284
geng gai 	更改	c=28 d=0.753587 t=127284
geng gao 	更高	c=6 d=0.0182243 t=127284
geng hao 	更好	c=25 d=0.990776 t=127284
geng hao yong 	更好用	c=1 d=6.77287e-05 t=127284
geng huan 	更換	c=4 d=0.00231117 t=127284
geng huan le 	更換了	c=1 d=9.68929e-12 t=127284
geng jia 	更加	c=10 d=1.06146 t=127284
geng jian dan 	更簡單	c=4 d=0.00104891 t=127284
geng jin yi bu 	更進一步	c=1 d=0.0322254 t=127284
geng kuai 	更快	c=2 d=1.65383e-07 t=127284
geng li hai 	更厲害	c=1 d=0.000949097 t=127284
geng ling huo 	更靈活	c=1 d=0.0332068 t=127284
geng qiang 	更強	c=2 d=0.0244795 t=127284
geng qing xi 	更清晰	c=1 d=6.17816e-12 t=127284
geng shao 	更少	c=2 d=0.000414132 t=127284
geng shen 	更深	c=2 d=1.10593 t=126796
geng sheng 	更省	c=1 d=6.31499e-05 t=127284
geng shi 	更是	c=2 d=0.000261259 t=127284
geng shi he 	更適合	c=1 d=4.13206e-15 t=127284
geng tong yong 	更通用	c=1 d=1.55054e-13 t=127284
geng tui jian 	更推薦	c=2 d=0.000757869 t=127284
geng xi 	更系	c=6 d=0.0295994 t=127284
geng xi 	更細	c=1 d=6.62952e-18 t=127284
geng xi huan 	更喜歡	c=1 d=1.19514e-09 t=127284
geng xiang 	更像	c=1 d=2.49203e-07 t=127284
geng xiang xi 	更詳細	c=2 d=3.62995e-34 t=127284
geng xiao 	更小	c=3 d=0.0243554 t=127284
geng xin 	更新	c=168 d=1.76752 t=127284
geng xin le 	更新了	c=4 d=0.00240549 t=127284
geng xing neng 	更性能	c=1 d=0.0459593 t=127284
geng zhong yao 	更重要	c=1 d=2.79621e-09 t=127284
gong 	供	c=1 d=0.00302755 t=127284
gong 	共	c=1 d=0.251579 t=127284
gong 	工	c=1 d=0.250324 t=127284
gong chan 	共產	c=1 d=0.00577048 t=127284
gong chang 	工廠	c=1 d=4.3454e-19 t=127284
gong cheng 	工程	c=52 d=2.70876 t=127284
gong cheng hao 	工程號	c=6 d=0.726108 t=127284
gong cheng ming 	工程名	c=2 d=0.236701 t=127284
gong cheng shi 	工程師	c=2 d=0.00198925 t=127284
gong de 	功德	c=1 d=0.0599047 t=127284
gong fu 	功夫	c=2 d=5.78269e-07 t=127284
gong gao 	公告	c=2 d=0.000510561 t=127284
gong gen 	公根	c=0 d=0.000197932 t=127284
gong gen na ge 	公根那個	c=1 d=0.00198925 t=127284
gong geng 	躬耕	c=0 d=0.0169483 t=127284
gong geng neng 	躬耕能	c=1 d=0.170333 t=127284
gong gong 	公共	c=5 d=7.13238e-07 t=127284
gong gu 	鞏固	c=2 d=5.03458e-08 t=127284
gong guo 	公國	c=1 d=0.13466 t=127284
gong hang 	工行	c=1 d=0.600496 t=127284
gong ji 	攻擊	c=6 d=0.0017643 t=127284
gong jiang 	工匠	c=1 d=0.122456 t=127284
gong ju 	工具	c=89 d=2.94218 t=127284
gong ju lian 	工具鏈	c=9 d=0.459843 t=127284
gong kai 	公開	c=5 d=6.50731e-05 t=127284
gong li 	公曆	c=1 d=0.0739031 t=127284
gong lve 	攻略	c=2 d=0.909373 t=127284
gong neng 	功能	c=115 d=4.10221 t=127284
gong neng e gao 	功能惡搞	c=1 d=0.0284388 t=127284
gong neng ge 	功能個	c=1 d=5.62992e-07 t=127284
gong neng ne gai 	功能呢該	c=1 d=4.40582e-05 t=127284
gong shang 	工商	c=1 d=2.16609e-05 t=127284
gong shi 	公式	c=28 d=1.40549 t=127284
gong shi 	共識	c=1 d=0.000104638 t=127284
gong si 	公司	c=14 d=0.0784731 t=127284
gong si de 	公司的	c=1 d=0.0982736 t=127284
gong tong 	共同	c=2 d=0.04256 t=127284
gong tong dian 	共同點	c=1 d=0.174645 t=127284
gong wang 	公網	c=4 d=0.130029 t=127284
gong wen 	公文	c=1 d=0.000523486 t=127284
gong xian 	貢獻	c=15 d=0.148827 t=127284
gong xiang 	共享	c=10 d=0.546074 t=127284
gong xu 	供需	c=0 d=2.60628e-06 t=127284
gong yao 	公鑰	c=3 d=1.28512e-20 t=127284
gong ye 	工業	c=10 d=1.16057 t=127284
gong ye ji 	工業級	c=1 d=7.60089e-09 t=127284
gong ye jie 	工業界	c=3 d=0.362402 t=127284
gong yi 	公益	c=31 d=0.0332072 t=127284
gong yi zhan 	公益站	c=6 d=0.0188736 t=127284
gong ying 	恭迎	c=1 d=5.97278e-26 t=127284
gong yong 	共用	c=4 d=0.514248 t=127284
gong you 	共有	c=1 d=4.84984e-17 t=127284
gong zi 	工資	c=7 d=0.38248 t=127284
gong zuo 	工作	c=61 d=1.21157 t=127284
gong zuo kong jian 	工作空間	c=1 d=3.12837e-06 t=127284
gong zuo liu 	工作流	c=2 d=9.15599e-13 t=127284
gong zuo ma 	工作嗎	c=1 d=0.25284 t=127284
gong zuo qu 	共作曲	c=1 d=4.66682e-35 t=127284
gong zuo qu 	工作區	c=15 d=1.67985e-08 t=127284
gong zuo zhan 	工作站	c=1 d=2.16308e-18 t=127284
gou 	夠	c=9 d=0.49147 t=127284
gou 	狗	c=24 d=0.0106202 t=127284
gou 	購	c=1 d=0.318224 t=127284
gou ba 	勾吧	c=1 d=3.48311e-05 t=127284
gou ba 	夠吧	c=1 d=5.77207e-65 t=127284
gou cheng 	構成	c=1 d=2.60124e-41 t=127284
gou duo 	夠多	c=1 d=3.61332e-25 t=127284
gou gao 	夠高	c=2 d=0.00843808 t=127284
gou gou 	夠夠	c=1 d=0.000167421 t=127284
gou jian 	構件	c=0 d=4.53058e-11 t=127284
gou jian 	構建	c=68 d=3.06446 t=127284
gou jian ji 	構件級	c=2 d=9.36406e-10 t=127284
gou jiao 	狗叫	c=2 d=4.46494e-07 t=127284
gou le 	勾勒	c=1 d=0.135335 t=127284
gou le 	夠了	c=4 d=0.136014 t=127284
gou mai 	購買	c=4 d=0.142987 t=127284
gou qiang 	夠嗆	c=4 d=0.23457 t=127284
gou shi 	勾使	c=1 d=0.00782838 t=127284
gou shi 	狗屎	c=4 d=0.900325 t=127284
gou shi dui 	狗屎堆	c=3 d=2.52969e-07 t=127284
gou si 	構思	c=6 d=0.735425 t=127284
gou wu dai 	購物袋	c=2 d=9.33188e-11 t=127284
gou xiang 	構想	c=5 d=0.398519 t=127284
gou xuan 	勾選	c=1 d=2.94719e-10 t=127284
gou yong 	夠用	c=10 d=0.99005 t=127284
gou yong le 	夠用了	c=3 d=4.54077e-07 t=127284
gou yun 	狗雲	c=1 d=9.44524e-06 t=127284
gou zai 	勾在	c=1 d=4.56741e-17 t=127284
gou zao 	構造	c=30 d=2.02019 t=127284
gou zao han shu 	構造函數	c=1 d=0.594521 t=127284
gou zi 	鉤子	c=3 d=0.000108366 t=127284
gu dai 	古代	c=1 d=1.01057e-06 t=127284
gu de 	古德	c=1 d=0.860708 t=127284
gu ding 	固定	c=15 d=0.716782 t=127284
gu er 	孤兒	c=1 d=1.07138e-17 t=127284
gu ge 	谷歌	c=27 d=3.52246 t=127284
gu ji 	估計	c=46 d=0.467685 t=127284
gu jian 	固件	c=1 d=9.56486e-07 t=127284
gu lao 	古老	c=1 d=4.30889e-08 t=127284
gu mo 	估摸	c=3 d=0.00701293 t=127284
gu qi 	鼓起	c=1 d=4.48856e-18 t=127284
gu ren 	故人	c=1 d=2.58167e-11 t=127284
gu tai 	固態	c=7 d=0.000109938 t=127284
gu wen 	古文	c=1 d=0.187308 t=127284
gu yi 	故意	c=2 d=1.47392e-05 t=127284
gu zao 	古早	c=1 d=1.75485e-28 t=127284
gu zhan 	股戰	c=1 d=3.63081e-23 t=127284
gu zhang 	故障	c=1 d=3.66731e-23 t=127284
gu zhang 	鼓掌	c=1 d=3.64901e-23 t=127284
gu zhang lv 	故障率	c=1 d=9.55804e-28 t=127284
gu zhe 	骨折	c=1 d=0.0257325 t=127284
gu zi 	穀子	c=0 d=6.6124e-18 t=127284
gu zi e 	穀子額	c=1 d=6.64554e-17 t=127284
gua 	掛	c=27 d=0.342516 t=127284
gua de 	掛的	c=2 d=8.36124e-13 t=127284
gua diao 	掛掉	c=2 d=1.38381e-20 t=127284
gua duan 	掛斷	c=1 d=1.05484e-18 t=127284
gua ke 	掛科	c=1 d=1.49284e-08 t=127284
gua le 	掛了	c=17 d=0.404542 t=127284
gua lian 	刮臉	c=2 d=1.48181e-09 t=127284
gua nian 	掛念	c=1 d=1.99162e-17 t=127284
gua qi 	掛起	c=7 d=0.218259 t=127284
gua ti zi 	掛梯子	c=1 d=8.03749e-19 t=127284
gua zai 	掛在	c=1 d=0.205975 t=127284
gua zhe 	掛着	c=1 d=0.00131358 t=127284
guai 	乖	c=0 d=1.03347e-06 t=127284
guai guai 	怪怪	c=3 d=0.856415 t=127284
guai wu 	怪物	c=4 d=1 t=127284
guan 	官	c=12 d=0.218749 t=127284
guan 	管	c=7 d=0.980199 t=127284
guan 	關	c=5 d=2.99679e-05 t=127284
guan bao 	管飽	c=1 d=2.61935e-05 t=127284
guan bi 	關閉	c=59 d=0.628135 t=127284
guan bi le 	關閉了	c=1 d=1.45573e-06 t=127284
guan biao 	管表	c=1 d=8.01128e-10 t=127284
guan bu diao 	關不掉	c=1 d=2.13973e-08 t=127284
guan bu liao 	管不了	c=1 d=1.59885e-21 t=127284
guan cha 	觀察	c=5 d=0.0161635 t=127284
guan dai 	官代	c=2 d=0.00710655 t=127284
guan dao 	管道	c=4 d=6.60155e-18 t=127284
guan de 	管得	c=1 d=3.44131e-10 t=127284
guan dian 	觀點	c=9 d=0.251579 t=127284
guan diao 	關掉	c=2 d=0.000745242 t=127284
guan fang 	官方	c=43 d=0.444858 t=127284
guan fang wen dang 	官方文檔	c=1 d=0.0769192 t=127284
guan jia 	管家	c=1 d=0.484325 t=127284
guan jian 	關鍵	c=10 d=0.379135 t=127284
guan jian ci 	關鍵詞	c=1 d=0.00740944 t=127284
guan jian shi 	關鍵是	c=1 d=0.318224 t=127284
guan jian zi 	關鍵字	c=14 d=0.128974 t=127284
guan kan 	觀看	c=1 d=6.99675e-64 t=127284
guan le 	關了	c=9 d=0.0968105 t=127284
guan li 	管理	c=103 d=2.15914 t=127284
guan li qi 	管理器	c=8 d=0.113753 t=127284
guan lia 	管倆	c=1 d=1.62611e-14 t=127284
guan lian 	關聯	c=28 d=0.670727 t=127284
guan lian de 	關聯的	c=1 d=0.557106 t=127284
guan men 	關門	c=1 d=2.22358e-19 t=127284
guan ni 	官逆	c=3 d=1.30616e-08 t=127284
guan ni 	管你	c=1 d=0.408608 t=127284
guan wang 	官網	c=21 d=3.49761 t=127284
guan wang 	觀望	c=2 d=1.90722 t=127284
guan wang na ge 	官網那個	c=1 d=1.62893e-05 t=127284
guan xi 	關係	c=27 d=0.870743 t=127284
guan xia 	管轄	c=1 d=6.56467e-20 t=127284
guan xin 	關心	c=7 d=0.752824 t=127284
guan yu 	關於	c=35 d=1.85761 t=127284
guan zhu 	關注	c=14 d=0.000876127 t=127284
guan zhuan 	官轉	c=42 d=1.70431 t=127284
guang 	光	c=2 d=0.0104621 t=127284
guang 	廣	c=1 d=1.08813e-23 t=127284
guang bai 	光白	c=1 d=0.00251621 t=127284
guang biao 	光標	c=9 d=0.142987 t=127284
guang chang 	廣場	c=1 d=3.6813e-09 t=127284
guang dian 	廣電	c=1 d=4.07761e-06 t=127284
guang fan 	廣泛	c=3 d=0.324652 t=127284
guang gao 	廣告	c=7 d=1.27594e-06 t=127284
guang gao fei 	廣告費	c=4 d=0.0343869 t=127284
guang pi gu 	光屁股	c=1 d=3.89408e-23 t=127284
guang xian 	光纖	c=1 d=1.22498e-05 t=127284
gui 	歸	c=1 d=0.0152985 t=127284
gui 	貴	c=17 d=0.217091 t=127284
gui 	鬼	c=7 d=0.609571 t=127284
gui bing 	歸併	c=2 d=0.596592 t=127284
gui ding 	規定	c=8 d=0.371912 t=127284
gui ding le 	規定了	c=1 d=7.82413e-26 t=127284
gui fa 	歸法	c=3 d=1.62164e-11 t=127284
gui fan 	規範	c=20 d=0.559898 t=127284
gui fan hua 	規範化	c=1 d=9.89007e-18 t=127284
gui ge 	規格	c=1 d=7.00078e-12 t=127284
gui gu 	硅谷	c=1 d=1.0031e-07 t=127284
gui ji 	硅基	c=38 d=1.97274 t=127284
gui ji de 	硅基的	c=1 d=9.78167e-06 t=127284
gui ji liu dong 	硅基流動	c=1 d=0.0101022 t=127284
gui le 	跪了	c=1 d=7.69454e-06 t=127284
gui lv 	規律	c=1 d=0.970446 t=127284
gui mo 	規模	c=1 d=2.8025e-06 t=127284
gui na 	歸納	c=2 d=0.460057 t=127284
gui yue 	規約	c=1 d=0.364408 t=127284
gui yue gui yue 	規約規約	c=1 d=0.138761 t=127284
gui ze 	規則	c=58 d=1.09209 t=127284
gui ze ji 	规则集	c=1 d=0.000898306 t=127284
gui zheng 	規整	c=0 d=0.000790705 t=127284
gui zhong 	貴重	c=1 d=1.83849e-17 t=127284
gun dong 	滾動	c=17 d=1.60583 t=127284
gun dong fang xiang 	滾動方箱	c=1 d=1.48131e-05 t=127284
guo 	國	c=1 d=8.3786e-08 t=127284
guo 	果	c=1 d=0.355226 t=127284
guo 	過	c=58 d=1.21644 t=127284
guo 	郭	c=1 d=3.39769e-07 t=127284
guo bu liao 	過不了	c=1 d=2.34037e-33 t=127284
guo chan 	國產	c=6 d=0.932394 t=127284
guo chan de 	國產的	c=1 d=1.38399e-29 t=127284
guo chang 	過長	c=4 d=6.64371e-06 t=127284
guo cheng 	過程	c=35 d=1.70682 t=127284
guo cheng ne ge 	過程呢個	c=1 d=0.000356206 t=127284
guo cheng zhong 	過程中	c=2 d=5.30565e-06 t=127284
guo de 	過得	c=1 d=7.22896e-07 t=127284
guo duan 	果斷	c=1 d=5.71598e-09 t=127284
